"Name","Family","Series","Form Factor","# of CPU Cores","# of Threads","Max. Boost Clock","Base Clock","L2 Cache","L3 Cache","Default TDP","L1 Cache","AMD Configurable TDP (cTDP)","Processor Technology for CPU Cores","Unlocked for Overclocking","CPU Socket","Thermal Solution (PIB)","Recommended Cooler","Thermal Solution (MPK)","Max. Operating Temperature (Tjmax)","Launch Date","*OS Support","PCI Express® Version","System Memory Type","Memory Channels","System Memory Specification","Graphics Model","Graphics Core Count","Graphics Frequency","AMD Ryzen™ AI","Product ID Boxed","Product ID Tray","Product ID MPK","Supported Technologies"
"AMD Athlon™ Gold PRO 3150G","Athlon PRO","Athlon PRO 3000 Series","Desktops","4","4","Up to 3.9 GHz","3.5 GHz","2 MB","4 MB","65W","384 KB","45-65W","12nm","No","AM4","","","","95°C","7/21/2020","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2933 MT/s","Radeon™  Graphics","3","1100 MHz","","","YD315BC5M4MFH","","AMD Memory Guard , AMD GuardMI Technology , DASH 1.2"
"AMD Athlon™ PRO 3145B","Athlon PRO","Athlon PRO 3000 Series","Laptops , Desktops","2","4","Up to 3.3 GHz","2.4 GHz","1 MB","4 MB","15W","192 KB","12-25W","14nm","","FP5","","","","100°C","Q12021","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2400 MT/s","AMD Radeon™ Graphics","3","1000 MHz","","","YM3145C4T2OFG","",""
"AMD Athlon™ Silver PRO 3125GE","Athlon PRO","Athlon PRO 3000 Series","Desktops","2","4","Up to 3.4 GHz","3.4 GHz","1 MB","4 MB","35W","192 KB","","12nm","No","AM4","","","","95°C","7/21/2020","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2667 MT/s","Radeon™  Graphics","3","1100 MHz","","","YD3125C6M2OFH","","AMD Memory Guard , AMD GuardMI Technology , DASH 1.2"
"AMD Athlon™ PRO 3045B","Athlon PRO","Athlon PRO 3000 Series","Laptops , Desktops","2","2","Up to 3.2 GHz","2.3 GHz","1 MB","4 MB","15W","192 KB","12-25W","14nm","","FP5","","","","100°C","Q12021","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2400 MT/s","AMD Radeon™ Graphics","2","1100 MHz","","","YM3045C4T2OFG","",""
"AMD Athlon™ Gold 3150U","Athlon","Athlon 3000 Series","Laptops , Desktops","2","4","Up to 3.3 GHz","2.4 GHz","1 MB","4 MB","15W","192 KB","12-25W","14nm","","FP5","","","","95°C","1/6/2020","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","","DDR4","2","Up to 2400 MT/s","AMD Radeon™ Graphics","3","1000 MHz","","","YM3150C4T2OFG","",""
"AMD Athlon™ Gold 3150GE (OEM Only)","Athlon","Athlon 3000 Series","Desktops","4","4","Up to 3.8 GHz","3.3 GHz","2 MB","4 MB","35W","384 KB","","12nm","Yes","AM4","","","","95°C","7/21/2020","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2933 MT/s","Radeon™  Graphics","3","1100 MHz","","","YD3150C6M4MFH","",""
"AMD Athlon™ Gold 3150G (OEM Only)","Athlon","Athlon 3000 Series","Desktops","4","4","Up to 3.9 GHz","3.5 GHz","2 MB","4 MB","65W","384 KB","45-65W","12nm","Yes","AM4","","","","95°C","7/21/2020","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2933 MT/s","Radeon™  Graphics","3","1100 MHz","","","YD3150C5M4MFH","",""
"AMD Athlon™ Gold 3150C","Athlon","Athlon 3000 Series","Laptops , Desktops","2","4","Up to 3.3 GHz","2.4 GHz","1 MB","4 MB","15W","192 KB","12-25W","14nm","No","FP5","","","","95°C","9/22/2020","ChromeOS , Windows 11 - 64-Bit Edition","","","","","AMD Radeon™ Graphics","3","1100 MHz","","","YM315CC4T2OFG","",""
"AMD Athlon™ Silver 3050U","Athlon","Athlon 3000 Series","Laptops , Desktops","2","2","Up to 3.2 GHz","2.3 GHz","1 MB","4 MB","15W","192 KB","12-25W","14nm","","FP5","","","","95°C","1/6/2020","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2400 MT/s","AMD Radeon™ Graphics","2","1100 MHz","","","YM3050C4T2OFG","",""
"AMD Athlon™ Silver 3050GE (OEM Only)","Athlon","Athlon 3000 Series","Desktops","2","4","Up to 3.4 GHz","3.4 GHz","1 MB","4 MB","35W","192 KB","","14nm","Yes","AM4","","","","95°C","7/21/2020","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2667 MT/s","Radeon™  Graphics","3","1100 MHz","","","YD305GC6M2OFH","",""
"AMD Athlon™ Silver 3050e","Athlon","Athlon 3000 Series","Laptops , Desktops","2","4","Up to 2.8 GHz","1.4 GHz","1 MB","4 MB","6W","","","14nm","","","","","","","1/6/2020","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2400 MT/s","AMD Radeon™ Graphics","3","1000 MHz","","","YM3050C7T2OFG​","",""
"AMD Athlon™  Silver 3050C","Athlon","Athlon 3000 Series","Laptops , Desktops","2","2","Up to 3.2 GHz","2.3 GHz","1 MB","4 MB","15W","192 KB","12-25W","14nm","No","FP5","","","","95°C","9/22/2020","ChromeOS , Windows 11 - 64-Bit Edition","","","","","AMD Radeon™ Graphics","2","1100 MHz","","","YM305CC4T2OFG","",""
"AMD Athlon™ 3000G","Athlon","Athlon 3000 Series","Desktops , Boxed Processor","2","4","","3.5 GHz","1 MB","4 MB","35W","192 KB","","14nm","Yes","AM4","","","","95°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","","2","Up to 2667 MT/s","Radeon™ Vega 3 Graphics","3","1100 MHz","","YD3000C6FHBOX","YD3000C6M2OFH","YD3000C6FHMPK",""
"AMD Athlon™ PRO 300U Mobile Processor with Radeon™ Vega 3 Graphics","Athlon PRO","Athlon PRO 300 Series","Laptops , Desktops","2","4","Up to 3.3 GHz","2.4 GHz","1 MB","4 MB","15W","384 KB","12-25W","14nm","No","FP5","","","","95°C","","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","","2","Up to 2400 MT/s","Radeon™ Vega 3 Graphics","3","1000 MHz","","","YM300BC4T2OFG","",""
"AMD Athlon™ PRO 300GE","Athlon PRO","Athlon PRO 300 Series","Desktops","2","4","","3.4 GHz","1 MB","4 MB","35W","192 KB","","12nm","No","AM4","","","","95°C","9/30/2019","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2667 MT/s","Radeon™ Vega 3 Graphics","3","1100 MHz","","","YD300BC6M2OFH","","AMD Memory Guard , AMD GuardMI Technology , DASH 1.2"
"AMD Athlon™ 320GE","Athlon","Athlon 300 Series","Desktops","2","4","","3.5 GHz","1 MB","4 MB","35W","192 KB","","14nm FinFET","Yes","AM4","","","","95°C","7/7/2019","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2667 MT/s","Radeon™ Vega 3 Graphics","3","1100 MHz","","YD32GEC6FHBOX","YD32GEC6M2OFH","",""
"AMD Athlon™ 300U","Athlon","Athlon 300 Series","Laptops , Desktops","2","4","Up to 3.3 GHz","2.4 GHz","1 MB","4 MB","15W","192 KB","","14nm","No","FP5","","","","105°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","","","2","Up to 2400 MT/s","Radeon™ Vega 3 Graphics","3","1000 MHz","","","YM300UC4T2OFG","","AMD SenseMI Technology , AMD FreeSync™ Technology , DirectX® 12 Technology"
"AMD Athlon™ 300GE","Athlon","Athlon 300 Series","Desktops","2","4","","3.4 GHz","1 MB","4 MB","35W","192 KB","","14nm","Yes","AM4","","","","95°C","7/7/2019","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","","2","Up to 2667 MT/s","Radeon™ Vega 3 Graphics","3","1100 MHz","","","YD30GEC6M2OFH","",""
"AMD Athlon™ PRO 200U Mobile Processor with Radeon™ Vega 3 Graphics","Athlon PRO","Athlon PRO 200 Series","Laptops , Desktops","2","4","Up to 3.2 GHz","2.3 GHz","1 MB","4 MB","15W","192 KB","12-25W","14nm","No","FP5","","","","105°C","","","PCIe® 3.0","","2","Up to 2400 MT/s","Radeon™ Vega 3 Graphics","3","1000 MHz","","","YM200UC4T2OFB","",""
"AMD Athlon™ PRO 200GE","Athlon PRO","Athlon PRO 200 Series","Desktops","2","4","","3.2 GHz","1 MB","4 MB","35W","192 KB","","14nm","No","AM4","","","","95°C","","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","","2","Up to 2667 MT/s","Radeon™ Vega 3 Graphics","3","1000 MHz","","","YD200BC6M2OFB","YD200BC6FBMPK",""
"AMD Athlon™ 240GE","Athlon","Athlon 200 Series","Desktops","2","4","","3.5 GHz","1 MB","4 MB","35W","192 KB","","14nm","No","AM4","","","","95°C","","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","","2","Up to 2667 MT/s","Radeon™ Vega 3 Graphics","3","1000 MHz","","","YD240GC6M2OFB","YD240GC6FBMPK",""
"AMD Athlon™ 220GE","Athlon","Athlon 200 Series","Desktops , Boxed Processor","2","4","","3.4 GHz","1 MB","4 MB","35W","192 KB","","14nm","No","AM4","","","","95°C","","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","","2","Up to 2667 MT/s","Radeon™ Vega 3 Graphics","3","1000 MHz","","","YD220GC6M2OFB","YD220GC6FBMPK",""
"AMD Athlon™ 200GE","Athlon","Athlon 200 Series","Desktops , Boxed Processor","2","4","","3.2 GHz","1 MB","4 MB","35W","192 KB","","14nm","No","AM4","","","","95°C","","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","","2","Up to 2667 MT/s","Radeon™ Vega 3 Graphics","3","1000 MHz","","YD200GC6FBBOX","YD200GC6M2OFB / YD20GGC6M2OFB","YD200GC6FBMPK",""
"AMD Ryzen™ Threadripper™ 2990WX","Ryzen Threadripper","Ryzen Threadripper 2000 Series","Desktops , Boxed Processor","32","64","Up to 4.2 GHz","3 GHz","16 MB","64 MB","250W","3072 KB","","12nm","Yes","sTR4","Not Included","","","68°C","8/13/2018","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","4","Up to 2933 MT/s","Discrete Graphics Card Required","","","","YD299XAZAFWOF","YD299XAZUIHAF","","AMD SenseMI Technology , AMD Zen Core Architecture , AMD Ryzen™ Master Utility"
"AMD Ryzen™ Threadripper™ 2970WX","Ryzen Threadripper","Ryzen Threadripper 2000 Series","Desktops , Boxed Processor","24","48","Up to 4.2 GHz","3 GHz","12 MB","64 MB","250W","2304 KB","","12nm","Yes","sTR4","Not Included","","","68°C","10/2018","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","4","Up to 2933 MT/s","Discrete Graphics Card Required","","","","YD297XAZAFWOF","YD297XAZUHCAF","","AMD SenseMI Technology , AMD Zen Core Architecture , AMD Ryzen™ Master Utility"
"AMD Ryzen™ Threadripper™ 2950X","Ryzen Threadripper","Ryzen Threadripper 2000 Series","Desktops , Boxed Processor","16","32","Up to 4.4 GHz","3.5 GHz","8 MB","32 MB","180W","1536 KB","","12nm","Yes","sTR4","Not Included","","","68°C","8/31/2018","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","4","Up to 2933 MT/s","Discrete Graphics Card Required","","","","YD295XA8AFWOF","YD295XA8UGAAF","","AMD SenseMI Technology , AMD Zen Core Architecture , AMD Ryzen™ Master Utility"
"AMD Ryzen™ Threadripper™ 2920X","Ryzen Threadripper","Ryzen Threadripper 2000 Series","Desktops , Boxed Processor","12","24","Up to 4.3 GHz","3.5 GHz","6 MB","32 MB","180W","1152 KB","","12nm","Yes","sTR4","Not Included","","","68°C","10/2018","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","4","Up to 2933 MT/s","Discrete Graphics Card Required","","","","YD292XA8AFWOF","YD292XA8UC9AF","","AMD SenseMI Technology , AMD Zen Core Architecture , AMD Ryzen™ Master Utility"
"AMD Ryzen™ 7 PRO 2700X","Ryzen PRO","Ryzen PRO 2000 Series","Desktops","8","16","Up to 4.1 GHz","3.6 GHz","4 MB","16 MB","95W","768 KB","","12nm","No","AM4","Not Included","","AMD Wraith Spire","95°C","","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2933 MT/s","Discrete Graphics Card Required","","","","","YD27BXBAM88AF","YD27BXBAAFMPK","AMD GuardMI Technology , DASH 1.2"
"AMD Ryzen™ 7 PRO 2700U","Ryzen PRO","Ryzen PRO 2000 Series","Laptops , Desktops","4","8","Up to 3.8 GHz","2.2 GHz","2 MB","4 MB","15W","384 KB","12-25W","14nm","No","FP5","","","","95°C","Q1 2019","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2400 MT/s","Radeon™ Vega 10 Graphics","10","1300 MHz","","","YM270BC4T4MFB","","AMD PRO security , AMD SenseMI Technology , AMD Zen Core Architecture , DASH 1.2"
"AMD Ryzen™ 7 PRO 2700","Ryzen PRO","Ryzen PRO 2000 Series","Desktops","8","16","Up to 4.1 GHz","3.2 GHz","4 MB","16 MB","65W","768 KB","","12nm","No","AM4","Not Included","","AMD Wraith Spire","95°C","","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2933 MT/s","Discrete Graphics Card Required","","","","","YD270BBBM88AF","YD270BBBAFMPK","AMD GuardMI Technology , DASH 1.2"
"AMD Ryzen™ 5 PRO 2600","Ryzen PRO","Ryzen PRO 2000 Series","Desktops","6","12","Up to 3.9 GHz","3.4 GHz","3 MB","16 MB","65W","576 KB","","12nm","No","AM4","Not Included","","AMD Wraith Spire","95°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2933 MT/s","Discrete Graphics Card Required","","","","","YD260BBBM6IAF","YD260BBBAFMPK","AMD GuardMI Technology , DASH 1.2"
"AMD Ryzen™ 5 PRO 2500U","Ryzen PRO","Ryzen PRO 2000 Series","Laptops , Desktops","4","8","Up to 3.6 GHz","2 GHz","2 MB","4 MB","15W","384 KB","12-25W","14nm","No","FP5","","","","95°C","Q1 2019","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2400 MT/s","Radeon™ Vega 8 Graphics","8","1100 MHz","","","YM250BC4T4MFB","","AMD PRO security , AMD SenseMI Technology , AMD Zen Core Architecture , DASH 1.2"
"AMD Ryzen™ 5 PRO 2400GE with Radeon™ Vega 11 Graphics","Ryzen PRO","Ryzen PRO 2000 Series","Desktops","4","8","Up to 3.8 GHz","3.2 GHz","2 MB","4 MB","35W","384 KB","","14nm FinFET","No","AM4","Not Included","","AMD Wraith Stealth","95°C","5/10/2018","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0 x8","DDR4","2","Up to 2933 MT/s","Radeon™ Vega 11 Graphics","11","1250 MHz","","","YD240BC6M4MFB","YD240BC6FBMPK","AMD GuardMI Technology , AMD SenseMI Technology , AMD Zen Core Architecture , DASH 1.2"
"AMD Ryzen™ 5 PRO 2400G with Radeon™ Vega 11 Graphics","Ryzen PRO","Ryzen PRO 2000 Series","Desktops","4","8","Up to 3.9 GHz","3.6 GHz","2 MB","4 MB","65W","384 KB","46-65W","14nm FinFET","No","AM4","AMD Wraith Stealth","","AMD Wraith Spire","95°C","5/10/2018","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","","2","Up to 2933 MT/s","Radeon™ Vega 11 Graphics","11","1250 MHz","","","YD240BC5M4MFB","YD240BC5FBMPK","AMD GuardMI Technology , AMD SenseMI Technology , AMD Zen Core Architecture , DASH 1.2"
"AMD Ryzen™ 3 PRO 2300U","Ryzen PRO","Ryzen PRO 2000 Series","Laptops , Desktops","4","4","Up to 3.4 GHz","2 GHz","2 MB","4 MB","15W","384 KB","12-25W","14nm","No","FP5","","","","95°C","Q1 2019","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2400 MT/s","Radeon™ Vega 6 Graphics","6","1100 MHz","","","YM230BC4T4MFB","","AMD PRO security , AMD SenseMI Technology , AMD Zen Core Architecture , DASH 1.2"
"AMD Ryzen™ 3 PRO 2200GE with Radeon™ Vega 8 Graphics","Ryzen PRO","Ryzen PRO 2000 Series","Desktops","4","4","Up to 3.6 GHz","3.2 GHz","2 MB","4 MB","35W","384 KB","","14nm FinFET","No","AM4","Not Included","","AMD Wraith Stealth","95°C","5/10/2018","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0 x8","DDR4","2","Up to 2933 MT/s","Radeon™ Vega 8 Graphics","8","1100 MHz","","","YD220BC6M4MFB","YD220BC6FBMPK","AMD GuardMI Technology , AMD SenseMI Technology , AMD Zen Core Architecture , DASH 1.2"
"AMD Ryzen™ 3 PRO 2200G with Radeon™ Vega 8 Graphics","Ryzen PRO","Ryzen PRO 2000 Series","Desktops","4","4","Up to 3.7 GHz","3.5 GHz","2 MB","4 MB","65W","384 KB","46-65W","14nm FinFET","No","AM4","AMD Wraith Stealth","","AMD Wraith Spire","95°C","5/10/2018","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","","2","Up to 2933 MT/s","Radeon™ Vega 8 Graphics","8","1100 MHz","","","YD220BC5M4MFB","YD220BC5FBMPK","AMD GuardMI Technology , AMD SenseMI Technology , AMD Zen Core Architecture , DASH 1.2"
"AMD Ryzen™ 7 2800H","Ryzen","Ryzen 2000 Series","Laptops , Desktops","4","8","Up to 3.8 GHz","3.3 GHz","2 MB","4 MB","45W","192 KB","35-54W","14nm","No","FP5","","","","95°C","9/10/2018","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","","2","Up to 3200 MT/s","Radeon™ RX Vega 11 Graphics","11","1300 MHz","","","YM2800C3T4MFB","","AMD SenseMI Technology , AMD Zen Core Architecture , AMD FreeSync™ Technology , DirectX® 12 Technology"
"AMD Ryzen™ 7 2700X","Ryzen","Ryzen 2000 Series","Desktops , Boxed Processor","8","16","Up to 4.3 GHz","3.7 GHz","4 MB","16 MB","105W","768 KB","","12nm FinFET","Yes","AM4","Wraith Prism with RGB LED","","AMD Wraith Prism","85°C","4/19/2018","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0 x16","DDR4","2","Up to 2933 MT/s","Discrete Graphics Card Required","","","","YD270XBGAFBOX","YD270XBGM88AF","YD270XBGAFMPK","AMD StoreMI Technology , AMD SenseMI Technology , AMD Ryzen™ Master Utility , AMD Ryzen™ VR-Ready Premium"
"AMD Ryzen™ 7 2700U","Ryzen","Ryzen 2000 Series","Laptops , Desktops","4","8","Up to 3.8 GHz","2.2 GHz","2 MB","4 MB","15W","384 KB","12-25W","14nm","No","FP5","","","","95°C","10/26/2017","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2400 MT/s","Radeon™ RX Vega 10 Graphics","10","1300 MHz","","","YM2700C4T4MFB","","AMD SenseMI Technology , AMD Zen Core Architecture , AMD FreeSync™ Technology , DirectX® 12 Technology , VCN"
"AMD Ryzen™ 7 2700E Processor","Ryzen","Ryzen 2000 Series","Desktops","8","16","Up to 4 GHz","2.8 GHz","4 MB","16 MB","45W","768 KB","","12nm","Yes","AM4","Not Included","","AMD Wraith Stealth","95°C","09/2018","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2667 MT/s","Discrete Graphics Card Required","","","","","YD270EBHM88AF","YD270EBHAFMPK","AMD GuardMI Technology , AMD StoreMI Technology , AMD SenseMI Technology , AMD Zen Core Architecture , DASH 1.2"
"AMD Ryzen™ 7 2700","Ryzen","Ryzen 2000 Series","Desktops , Boxed Processor","8","16","Up to 4.1 GHz","3.2 GHz","4 MB","16 MB","65W","768 KB","","12nm FinFET","Yes","AM4","Wraith Spire with RGB LED","","AMD Wraith Spire","95°C","4/19/2018","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0 x16","DDR4","2","Up to 2933 MT/s","Discrete Graphics Card Required","","","","YD2700BBAFBOX","YD2700BBM88AF","YD2700BBAFMPK","AMD StoreMI Technology , AMD SenseMI Technology , AMD Ryzen™ Master Utility , AMD Ryzen™ VR-Ready Premium"
"AMD Ryzen™ 5 2600X","Ryzen","Ryzen 2000 Series","Desktops , Boxed Processor","6","12","Up to 4.2 GHz","3.6 GHz","3 MB","16 MB","95W","576 KB","","12nm FinFET","Yes","AM4","AMD Wraith Spire","","AMD Wraith Spire","95°C","4/19/2018","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0 x16","DDR4","2","Up to 2933 MT/s","Discrete Graphics Card Required","","","","YD260XBCAFBOX","YD260XBCM6IAF","YD260XBCAFMPK","AMD StoreMI Technology , AMD SenseMI Technology , AMD Ryzen™ Master Utility , AMD Ryzen™ VR-Ready Premium"
"AMD Ryzen™ 5 2600H","Ryzen","Ryzen 2000 Series","Laptops , Desktops","4","8","Up to 3.6 GHz","3.2 GHz","2 MB","4 MB","45W","192 KB","35-54W","14nm","No","FP5","","","","95°C","9/10/2018","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","","2","Up to 3200 MT/s","Radeon™ Vega 8 Graphics","8","1100 MHz","","","YM2600C3T4MFB","","AMD SenseMI Technology , AMD Zen Core Architecture , AMD FreeSync™ Technology , DirectX® 12 Technology"
"AMD Ryzen™ 5 2600E","Ryzen","Ryzen 2000 Series","Desktops","6","12","Up to 4 GHz","3.1 GHz","3 MB","16 MB","45W","578 KB","","12nm","Yes","AM4","Not Included","","AMD Wraith Stealth","95°C","09/2018","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2667 MT/s","Discrete Graphics Card Required","","","","","YD260EBHM6IAF","YD260EBHAFMPK","AMD StoreMI Technology , AMD SenseMI Technology , AMD Zen Core Architecture"
"AMD Ryzen™ 5 2600","Ryzen","Ryzen 2000 Series","Desktops , Boxed Processor","6","12","Up to 3.9 GHz","3.4 GHz","3 MB","16 MB","65W","576 KB","","12nm FinFET","Yes","AM4","AMD Wraith Stealth","","AMD Wraith Stealth","95°C","4/19/2018","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0 x16","DDR4","2","Up to 2933 MT/s","Discrete Graphics Card Required","","","","YD2600BBAFBOX","YD2600BBM6IAF","YD2600BBAFMPK","AMD StoreMI Technology , AMD SenseMI Technology , AMD Ryzen™ Master Utility , AMD Ryzen™ VR-Ready Premium"
"AMD Ryzen™ 5 2500X","Ryzen","Ryzen 2000 Series","Desktops","4","8","Up to 4 GHz","3.6 GHz","2 MB","8 MB","65W","384 KB","","12nm","Yes","AM4","Not Included","","AMD Wraith Stealth","95°C","9/10/2018","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2933 MT/s","Discrete Graphics Card Required","","","","","YD250XBBM4KAF","YD250XBBAFMPK",""
"AMD Ryzen™ 5 2500U","Ryzen","Ryzen 2000 Series","Laptops , Desktops","4","8","Up to 3.6 GHz","2 GHz","2 MB","4 MB","15W","384 KB","12-25W","14nm","No","FP5","","","","95°C","10/26/2017","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 2400 MT/s","Radeon™ Vega 8 Graphics","8","1100 MHz","","","YM2500C4T4MFB","","AMD SenseMI Technology , AMD Zen Core Architecture , AMD FreeSync™ Technology , DirectX® 12 Technology , VCN"
"AMD Ryzen™ 5 2400GE with Radeon™ RX Vega 11 Graphics","Ryzen","Ryzen 2000 Series","Desktops","4","8","Up to 3.8 GHz","3.2 GHz","2 MB","4 MB","35W","384 KB","","14nm FinFET","Yes","AM4","Not Included","","AMD Wraith Stealth","95°C","4/19/2018","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0 x8","DDR4","2","Up to 2933 MT/s","Radeon™ RX Vega 11 Graphics","11","1250 MHz","","","YD2400C6M4MFB","YD2400C6FBMPK","AMD VR Ready Processors , AMD Ryzen™ Master Utility , DirectX® 12 Technology"
"AMD Ryzen™ 5 2400G with Radeon™ RX Vega 11 Graphics","Ryzen","Ryzen 2000 Series","Desktops , Boxed Processor","4","8","Up to 3.9 GHz","3.6 GHz","2 MB","4 MB","65W","384 KB","46-65W","14nm FinFET","Yes","AM4","AMD Wraith Stealth","","","95°C","2/12/2018","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0 x8","DDR4","2","Up to 2933 MT/s","Radeon™ RX Vega 11 Graphics","11","1250 MHz","","YD2400C5FBBOX","YD2400C5M4MFB","YD2400C5FBMPK","AMD Software  Adrenalin Edition , AMD SenseMI Technology , AMD VR Ready Processors , AMD Ryzen™ Master Utility , Enmotus FuzeDrive™ for AMD Ryzen™ , AMD FreeSync™ Technology"
