"Name","Series","# of CPU Cores","# of Threads","Max. Boost Clock","All Core Boost Speed","Base Clock","L3 Cache","1kU Pricing","Default TDP","AMD Configurable TDP (cTDP)","CPU Socket","Socket Count","Launch Date","PCI Express® Version","System Memory Type","Memory Channels","System Memory Specification","Per Socket Mem BW","Product ID Boxed","Product ID Tray","AMD Infinity Guard","Supported Technologies","Workload Affinity"
"AMD EPYC™ 4584PX","EPYC 4004 Series","16","32","Up to 5.7 GHz","5.7 GHz","4.2 GHz","128 MB","699 USD","120W","","AM5","1P","","PCIe® 5.0 x28","DDR5","2","Up to 5200 MT/s","","100-100001481WOF","100-000001481","Yes","AMD Infinity Architecture",""
"AMD EPYC™ 4564P","EPYC 4004 Series","16","32","Up to 5.7 GHz","","4.5 GHz","64 MB","699 USD","170W","","AM5","1P","","PCIe® 5.0 x28","DDR5","2","Up to 5200 MT/s","","100-100001476WOF","100-000001476","Yes","AMD Infinity Architecture",""
"AMD EPYC™ 4484PX","EPYC 4004 Series","12","24","Up to 5.6 GHz","","4.4 GHz","128 MB","599 USD","120W","","AM5","1P","","PCIe® 5.0 x28","DDR5","2","Up to 5200 MT/s","","100-100001482WOF","100-000001482","Yes","AMD Infinity Architecture",""
"AMD EPYC™ 4464P","EPYC 4004 Series","12","24","Up to 5.4 GHz","","3.7 GHz","64 MB","429 USD","65W","","AM5","1P","","PCIe® 5.0 x28","DDR5","2","Up to 5200 MT/s","","100-100001478WOF","100-000001478","Yes","AMD Infinity Architecture",""
"AMD EPYC™ 4364P","EPYC 4004 Series","8","16","Up to 5.4 GHz","","4.5 GHz","32 MB","399 USD","105W","","AM5","1P","","PCIe® 5.0 x28","DDR5","2","Up to 5200 MT/s","","100-100001477WOF","100-000001477","Yes","AMD Infinity Architecture",""
"AMD EPYC™ 4344P","EPYC 4004 Series","8","16","Up to 5.3 GHz","","3.8 GHz","32 MB","329 USD","65W","","AM5","1P","","PCIe® 5.0 x28","DDR5","2","Up to 5200 MT/s","","100-100001479WOF","100-000001479","Yes","AMD Infinity Architecture",""
"AMD EPYC™ 4244P","EPYC 4004 Series","6","12","Up to 5.1 GHz","","3.8 GHz","32 MB","229 USD","65W","","AM5","1P","","PCIe® 5.0 x28","DDR5","2","Up to 5200 MT/s","","100-100001480WOF","100-000001480","Yes","AMD Infinity Architecture",""
"AMD EPYC™ 4124P","EPYC 4004 Series","4","8","Up to 5.1 GHz","","3.8 GHz","16 MB","149 USD","65W","","AM5","1P","","PCIe® 5.0 x28","DDR5","2","Up to 5200 MT/s","","100-100001570WOF","100-000001570","Yes","AMD Infinity Architecture",""
"AMD Opteron™ X2170 APU","Opteron X2100 Series APU","4","4","","","2.4 GHz","","","25W","","FT3","","","","DDR3","","Up to 1866 MT/s","","","","","Graphics Core Next Architecture , AMD X86 SoC Technology",""
"AMD Opteron™ X2150 APU","Opteron X2100 Series APU","4","4","","","1.9 GHz","","","22W","","FT3","","","","DDR3","","","","n/a","OX2150IAJ44HM","","Catalyst Software , AMD HD3D Technology",""
"AMD Opteron™ X1150","Opteron X1100 Series","4","4","","","2 GHz","","","17W","","FT3","","","","DDR3","","Up to 800 MT/s","","n/a","OX1150IPJ44HM","","",""
"AMD Opteron™ 6386 SE","Opteron 6300 Series","16","16","Up to 3.5 GHz","","2.8 GHz","16 MB","","140W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6386YETGGHK","","",""
"AMD Opteron™ 6370P","Opteron 6300 Series","16","16","Up to 2.5 GHz","","2 GHz","16 MB","","99W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6370WQTGGHK","","",""
"AMD Opteron™ 6366 HE","Opteron 6300 Series","16","16","Up to 3.1 GHz","","1.8 GHz","16 MB","","85W","","G34","","","","DDR3","","Up to 1800 MT/s","","n/a","OS6366VATGGHK","","",""
"AMD Opteron™ 6338P","Opteron 6300 Series","12","12","Up to 2.8 GHz","","2.3 GHz","16 MB","","99W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6338WQTCGHK","","",""
"AMD Opteron™ 6380","Opteron 6300 Series","16","16","Up to 3.4 GHz","","2.5 GHz","16 MB","","115W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6380WKTGGHK","","",""
"AMD Opteron™ 6378","Opteron 6300 Series","16","16","Up to 3.3 GHz","","2.4 GHz","16 MB","","115W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6378WKTGGHK","","",""
"AMD Opteron™ 6376","Opteron 6300 Series","16","16","Up to 2 GHz","","2.3 GHz","16 MB","","115W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6376WKTGGHK","","",""
"AMD Opteron™ 6348","Opteron 6300 Series","12","12","Up to 3.4 GHz","","2.8 GHz","16 MB","","115W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6348WKTCGHK","","",""
"AMD Opteron™ 6344","Opteron 6300 Series","12","12","Up to 2 GHz","","2.6 GHz","16 MB","","115W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6344WKTCGHK","","",""
"AMD Opteron™ 6328","Opteron 6300 Series","8","8","Up to 3.8 GHz","","3.2 GHz","16 MB","","115W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6328WKT8GHK","","",""
"AMD Opteron™ 6320","Opteron 6300 Series","8","8","Up to 3.3 GHz","","2.8 GHz","16 MB","","115W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6320WKT8GHK","","",""
"AMD Opteron™ 6308","Opteron 6300 Series","4","4","","","3.5 GHz","16 MB","","115W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6308WKT4GHK","","",""
"AMD Opteron™ 4376 HE","Opteron 4300 Series","8","8","Up to 3.6 GHz","","2.6 GHz","8 MB","","65W","","C32","","","","DDR3","","Up to 2000 MT/s","","n/a","OS4376OFU8KHK","","",""
"AMD Opteron™ 4332 HE","Opteron 4300 Series","6","6","Up to 3.7 GHz","","3 GHz","8 MB","","65W","","C32","","","","DDR3","","Up to 2000 MT/s","","n/a","OS4332OFU6KHK","","",""
"AMD Opteron™ 4310 EE","Opteron 4300 Series","6","6","Up to 3 GHz","","2.2 GHz","8 MB","","35W","","C32","","","","DDR3","","Up to 1600 MT/s","","n/a","OS4310HPU4KHK","","",""
"AMD Opteron™ 4386","Opteron 4300 Series","8","8","Up to 3.8 GHz","","3.1 GHz","8 MB","","95W","","C32","","","","DDR3","","Up to 2200 MT/s","","n/a","OS4386WLU8KHK","","",""
"AMD Opteron™ 4365","Opteron 4300 Series","8","8","Up to 2.8 GHz","","2 GHz","8 MB","","40W","","C32","","","","DDR3","","Up to 1600 MT/s","","n/a","n/a","","",""
"AMD Opteron™ 4340","Opteron 4300 Series","6","6","Up to 3.8 GHz","","3.5 GHz","8 MB","","95W","","C32","","","","DDR3","","Up to 2200 MT/s","","n/a","OS4340WLU6KHK","","",""
"AMD Opteron™ 4334","Opteron 4300 Series","6","6","Up to 3.5 GHz","","3.1 GHz","8 MB","","95W","","C32","","","","DDR3","","Up to 2000 MT/s","","n/a","OS4334WLU6KHK","","",""
"AMD Opteron™ 3350 HE","Opteron 3300 Series","4","4","Up to 3.8 GHz","","2.8 GHz","8 MB","","45W","","AM3+","","","","DDR3","","Up to 2000 MT/s","","n/a","OS3350HOW4KHK","","",""
"AMD Opteron™ 3320 EE","Opteron 3300 Series","4","4","Up to 2.5 GHz","","1.9 GHz","8 MB","","25W","","AM3+","","","","DDR3","","Up to 1400 MT/s","","n/a","OS3320SJW4KHK","","",""
"AMD Opteron™ 3380","Opteron 3300 Series","8","8","Up to 3.6 GHz","","2.6 GHz","8 MB","","65W","","AM3+","","","","DDR3","","Up to 2000 MT/s","","n/a","OS3380OLW8KHK","","",""
"AMD Opteron™ 3365","Opteron 3300 Series","8","8","Up to 3.3 GHz","","2.3 GHz","8 MB","","65W","","AM3+","","","","DDR3","","Up to 2000 MT/s","","n/a","OS3365OLW8KHK","","",""
"AMD Opteron™ 6284 SE","Opteron 6200 Series","16","16","Up to 3.4 GHz","","2.7 GHz","16 MB","","140W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6284YETGGGU","","",""
"AMD Opteron™ 6282 SE","Opteron 6200 Series","16","16","Up to 3.3 GHz","","2.6 GHz","16 MB","","140W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6282YETGGGU","","",""
"AMD Opteron™ 6262 HE","Opteron 6200 Series","16","16","Up to 2.9 GHz","","1.6 GHz","16 MB","","85W","","G34","","","","DDR3","","Up to 1800 MT/s","","n/a","OS6262VATGGGU","","",""
"AMD Opteron™ 6278","Opteron 6200 Series","16","16","Up to 3.3 GHz","","2.4 GHz","16 MB","","115W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6278WKTGGGU","","",""
"AMD Opteron™ 6276","Opteron 6200 Series","16","16","Up to 3.2 GHz","","2.3 GHz","16 MB","","115W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6276WKTGGGU","","",""
"AMD Opteron™ 6274","Opteron 6200 Series","16","16","Up to 3.1 GHz","","2.2 GHz","16 MB","","115W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6274WKTGGGU","","",""
"AMD Opteron™ 6272","Opteron 6200 Series","16","16","Up to 3 GHz","","2.1 GHz","16 MB","","115W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6272WKTGGGU","","",""
"AMD Opteron™ 6238","Opteron 6200 Series","12","12","Up to 3.2 GHz","","2.6 GHz","16 MB","","115W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6238WKTCGGU","","",""
"AMD Opteron™ 6234","Opteron 6200 Series","12","12","Up to 3 GHz","","2.4 GHz","16 MB","","115W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6234WKTCGGU","","",""
"AMD Opteron™ 6220","Opteron 6200 Series","8","8","Up to 3.6 GHz","","3 GHz","16 MB","","115W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6220WKT8GGU","","",""
"AMD Opteron™ 6212","Opteron 6200 Series","8","8","Up to 3.2 GHz","","2.6 GHz","16 MB","","115W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6212WKT8GGU","","",""
"AMD Opteron™ 6204","Opteron 6200 Series","4","4","","","3.3 GHz","16 MB","","115W","","G34","","","","DDR3","","Up to 2000 MT/s","","n/a","OS6204WKT4GGU","","",""
"AMD Opteron™ 4276 HE","Opteron 4200 Series","8","8","Up to 3.6 GHz","","2.6 GHz","8 MB","","65W","","C32","","","","DDR3","","Up to 2000 MT/s","","n/a","OS4276OFU8KGU","","",""
"AMD Opteron™ 4274 HE","Opteron 4200 Series","8","8","Up to 3.5 GHz","","2.5 GHz","8 MB","","65W","","C32","","","","DDR3","","Up to 2000 MT/s","","n/a","OS4274OFU8KGU","","",""
"AMD Opteron™ 4256 EE","Opteron 4200 Series","8","8","Up to 2.8 GHz","","1.6 GHz","8 MB","","35W","","C32","","","","DDR3","","Up to 1600 MT/s","","n/a","OS4256HJU8KGU","","",""
"AMD Opteron™ 4230 HE","Opteron 4200 Series","6","6","Up to 3.7 GHz","","2.9 GHz","8 MB","","65W","","C32","","","","DDR3","","Up to 2000 MT/s","","n/a","OS4230OFU6KGU","","",""
"AMD Opteron™ 4228 HE","Opteron 4200 Series","6","6","Up to 3.6 GHz","","2.8 GHz","8 MB","","65W","","C32","","","","DDR3","","Up to 2000 MT/s","","n/a","OS4228OFU6KGU","","",""
"AMD Opteron™ 4284","Opteron 4200 Series","8","8","Up to 3.7 GHz","","3 GHz","8 MB","","95W","","C32","","","","DDR3","","Up to 2200 MT/s","","n/a","OS4284WLU8KGU","","",""
"AMD Opteron™ 4280","Opteron 4200 Series","8","8","Up to 2.2 GHz","","2.8 GHz","8 MB","","95W","","C32","","","","DDR3","","Up to 2200 MT/s","","n/a","OS4280WLU8KGU","","",""
"AMD Opteron™ 4240","Opteron 4200 Series","6","6","Up to 3.8 GHz","","3.4 GHz","8 MB","","95W","","C32","","","","DDR3","","","","n/a","OS4240WLU6KGU","","",""
"AMD Opteron™ 4238","Opteron 4200 Series","6","6","Up to 3.7 GHz","","3.3 GHz","8 MB","","95W","","C32","","","","DDR3","","Up to 2200 MT/s","","n/a","OS4238WLU6KGU","","",""
"AMD Opteron™ 4234","Opteron 4200 Series","6","6","Up to 3.5 GHz","","3.1 GHz","8 MB","","95W","","C32","","","","DDR3","","Up to 2200 MT/s","","n/a","OS4234WLU6KGU","","",""
"AMD Opteron™ 4226","Opteron 4200 Series","6","6","Up to 3.1 GHz","","2.7 GHz","8 MB","","95W","","C32","","","","DDR3","","Up to 2000 MT/s","","n/a","OS4226WLU6KGU","","",""
"AMD Opteron™ 3260 HE","Opteron 3200 Series","4","4","Up to 3.7 GHz","","2.7 GHz","4 MB","","45W","","AM3+","","","","DDR3","","Up to 2000 MT/s","","OS3260HOW4MGUBOX","OS3260HOW4MGU","","",""
"AMD Opteron™ 3250 HE","Opteron 3200 Series","","","Up to 3.5 GHz","","2.5 GHz","4 MB","","45W","","AM3+","","","","DDR3","","Up to 2000 MT/s","","OS3250HOW4MGUBOX","OS3250HOW4MGU","","",""
"AMD Opteron™ 3280","Opteron 3200 Series","8","8","Up to 3.4 GHz","","2.4 GHz","8 MB","","65W","","AM3+","","","","DDR3","","Up to 2000 MT/s","","OS3280OLW8KGUBOX","OS3280OLW8KGU","","",""
"AMD Opteron™ 6180 SE","Opteron 6100 Series","12","12","","","2.5 GHz","12 MB","","140W","","G34","","","","DDR3","","Up to 1800 MT/s","","n/a","OS6180YETCEGO","","",""
"AMD Opteron™ 6166 HE","Opteron 6100 Series","12","12","","","1.8 GHz","12 MB","","85W","","G34","","","","DDR3","","Up to 1800 MT/s","","n/a","OS6166VATCEGO","","",""
"AMD Opteron™ 6132 HE","Opteron 6100 Series","8","8","","","2.2 GHz","12 MB","","85W","","G34","","","","DDR3","","Up to 1800 MT/s","","n/a","OS6132VAT8EGO","","",""
"AMD Opteron™ 6176","Opteron 6100 Series","12","12","","","2.3 GHz","12 MB","","115W","","G34","","","","DDR3","","Up to 1800 MT/s","","OS6176WKTCEGOWOF","OS6176WKTCEGO","","",""
"AMD Opteron™ 6140","Opteron 6100 Series","8","8","","","2.6 GHz","12 MB","","115W","","G34","","","","DDR3","","Up to 1800 MT/s","","OS6140WKT8EGOWOF","OS6140WKT8EGO","","",""
